a7,name_knows,edu_knows,job_knows,L_knows,L_knows_norm
601.0,1.1276536,0.6930145,0.30232346,1.0121396,0.6847972
602.0,-0.21517456,-0.1873144,0.11690736,-0.13615154,0.30561528
603.0,-0.047321036,-0.011248629,0.30232346,0.11620996,0.38894862
604.0,-0.88658863,-0.71551174,-0.6247571,-1.0616579,-7.332227e-17
605.0,-0.5508816,-0.3633802,-0.25392488,-0.5569349,0.16666667
606.0,-0.047321036,-0.011248629,-0.6247571,-0.300956,0.2511945
607.0,-0.7187351,-0.1873144,-0.25392488,-0.5530197,0.16795953
608.0,-0.7187351,-0.71551174,-0.6247571,-0.9816335,0.0264252
611.0,-0.7187351,0.16481715,-0.25392488,-0.3851404,0.22339565
612.0,-0.047321036,0.16481715,-0.25392488,-0.06504265,0.32909644
613.0,-0.7187351,-0.1873144,-0.25392488,-0.5530197,0.16795953
614.0,-0.21517456,0.34088293,-0.422485,-0.124703735,0.30939552
615.0,-0.7187351,-0.1873144,-0.25392488,-0.5530197,0.16795953
616.0,-0.3830281,-0.1873144,0.04274091,-0.25493106,0.2663926
617.0,-0.7187351,-0.3633802,-0.439341,-0.72535676,0.11105139
618.0,0.12053248,-0.3633802,0.38660353,0.053176317,0.36813402
619.0,-0.047321036,-0.71551174,-0.439341,-0.5731383,0.16131608
620.0,0.04306163,0.2596218,0.58887565,0.38186026,0.4766701
621.0,-0.7187351,0.16481715,-0.25392488,-0.38514042,0.22339565
622.0,0.288386,0.34088293,0.30232346,0.4441381,0.49723512
623.0,-0.3830281,-0.53944594,0.30232346,-0.29565778,0.25294405
624.0,0.12053248,-0.3633802,-0.6247571,-0.38881084,0.22218361
625.0,-0.3830281,-0.1873144,-0.439341,-0.48136824,0.19161984
626.0,-0.7187351,-0.53944594,-0.439341,-0.80929637,0.083333336
627.0,-0.047321036,-0.1873144,-0.25392488,-0.23292194,0.27366033
628.0,0.12053248,-0.1873144,0.11690736,0.023897352,0.35846567
629.0,-0.7187351,-0.71551174,-0.6247571,-0.9816335,0.0264252
630.0,-0.047321036,-0.1873144,-0.25392488,-0.23292196,0.27366033
631.0,-0.5508816,-0.71551174,-0.25392488,-0.7248142,0.11123056
632.0,-0.3830281,-0.1873144,0.4877396,-0.039381094,0.33757025
633.0,-0.5508816,0.16481715,0.11690736,-0.14225505,0.3035998
634.0,-0.21517456,0.16481715,0.30232346,0.12012519,0.39024147
635.0,-0.21517456,-0.011248629,0.11690736,-0.066145845,0.32873216
636.0,-0.3830281,0.16481715,0.4877396,0.12849817,0.39300635
637.0,-0.21517456,-0.1873144,-0.17975843,-0.26330405,0.26362774
638.0,-0.11188008,-0.5529895,0.30232346,-0.18393162,0.28983763
639.0,0.21208894,0.4369188,0.1843314,0.39729574,0.48176712
640.0,0.62409306,0.34088293,0.30232346,0.604187,0.55008554
641.0,0.95980006,0.34088293,0.26524025,0.72548074,0.59013844
642.0,0.288386,0.6930145,0.1843314,0.5484411,0.5316775
643.0,0.288386,0.5169487,0.11690736,0.43968034,0.4957631
644.0,-0.047321036,0.5169487,0.26524025,0.3292738,0.45930532
645.0,-0.7187351,0.34088293,0.11690736,-0.124405906,0.30949387
646.0,-0.7316469,0.16481715,-0.017940728,-0.2835188,0.25695252
647.0,0.288386,-0.011248629,-0.6247571,-0.16572829,0.2958486
648.0,-0.88658863,-0.71551174,-0.3775356,-0.898797,0.053778976
649.0,0.288386,0.16481715,-0.06850876,0.18340364,0.41113693
650.0,-0.047321036,-0.1873144,-0.06850876,-0.14452451,0.3028504
651.0,0.288386,-0.1873144,0.38660353,0.21714036,0.42227727
652.0,-0.5508816,-0.1873144,-0.6247571,-0.6497901,0.13600457
653.0,-0.3830281,-0.1873144,0.38660353,-0.10295737,0.31657645
654.0,0.288386,0.34088293,-0.017940728,0.29216442,0.4470513
655.0,-0.21517456,0.5169487,0.6731557,0.4647993,0.50405777
656.0,-0.047321036,-0.33136824,0.58887565,0.08997608,0.38028583
657.0,-0.11188008,-0.5529895,-0.11129709,-0.37003872,0.22838244
658.0,-0.21517456,-0.53944594,0.04274091,-0.34278592,0.23738168
660.0,-0.3830281,-0.71551174,-0.439341,-0.73318714,0.10846568
661.0,1.1276536,0.6930145,0.4877396,1.100537,0.7139873
662.0,0.288386,-0.1873144,-0.22021286,-0.048051905,0.33470702
663.0,0.288386,-0.3633802,-0.017940728,-0.043594126,0.33617905
664.0,-0.21517456,-0.53944594,-0.439341,-0.5692231,0.16260894
667.0,-0.88658863,-0.71551174,-0.6247571,-1.0616579,-7.332227e-17
668.0,-0.88658863,-0.71551174,-0.439341,-0.97326046,0.02919008
669.0,-0.4217635,-0.5529895,-0.6247571,-0.762569,0.09876338
